title;_year_data;year;rated;released;runtime;genres;director;writer;actors;plot;languages;country;Oscar nominations;Oscars;nominations;wins;poster;ratings/0/Source;ratings_Value;ratings/1/Source;ratings/1/Value;ratings/2/Source;ratings/2/Value;metascore;rating;votes;imdbid;type;dvd;boxoffice;production;website;response;name;series;imdburl;totalseasons;start_year;opts/apiKey;opts/timeout
Peggy Sue Got Married;1986;1986;PG-13;1986-10-09T23:00:00.000Z;103 min;Comedy;Francis Ford Coppola;Jerry Leichtling, Arlene Sarner;Kathleen Turner, Nicolas Cage, Barry Miller, Catherine Hicks;A 43-year-old mother and housewife who's facing divorce is thrust back in time when she attends her high-school reunion. Given the chance to change the course of her life, she finds herself making many of the same choices.;English;USA;3;0;9;3;https://m.media-amazon.com/images/M/MV5BYjg2MzE1MzQtZDY2My00YzU2LThjNmMtODY5YTU5ZDQ2MzAzXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg;Internet Movie Database;6.3/10;Rotten Tomatoes;85%;Metacritic;74/100;74;6.3;29,767;tt0091738;movie;11/aug/98;N/A;Twentieth Century Fox Home Entertainment;N/A;True;Peggy Sue Got Married;false;https://www.imdb.com/title/tt0091738;;;;
Primal Fear;1996;1996;R;1996-04-02T22:00:00.000Z;129 min;Crime;Gregory Hoblit;William Diehl (novel), Steve Shagan (screenplay), Ann Biderman (screenplay);Richard Gere, Laura Linney, John Mahoney, Alfre Woodard;Courtroom thriller about a slick, hotshot lawyer who takes the seemingly unwinnable case of a young altar boy accused of murdering an eminent catholic priest.;English, Spanish;USA;1;0;11;10;https://m.media-amazon.com/images/M/MV5BNTljMTEwMGUtYzUyMi00Y2U4LTk3ZDItYWRlNTA5NjkyMjU1XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg;Internet Movie Database;7.7/10;Rotten Tomatoes;74%;Metacritic;47/100;47;7.7;156,774;tt0117381;movie;20 Oct 1998;N/A;Paramount Pictures;N/A;True;Primal Fear;false;https://www.imdb.com/title/tt0117381;;;;
Racing with the Moon;1984;1984;PG;1984-03-22T23:00:00.000Z;108 min;Comedy;Richard Benjamin;Steve Kloves;Sean Penn, Elizabeth McGovern, Nicolas Cage, John Karlen;Henry and Nicky are small town pals from blue collar families with only a short time before they ship off to World War II. Henry begins romancing new-to-town Caddie Winger, believing her to be wealthy. Mischievious and irresponsible, Nicky gets into trouble which forces the other two to become involved, testing their relationship, as well as the friendship between the boys.;English;USA;0;0;0;1;https://m.media-amazon.com/images/M/MV5BOTBlOTIyNzAtZjQ3NC00MzA3LWFiNjktYjYyZjBkMDNjMDlmXkEyXkFqcGdeQXVyMzU4Nzk4MDI@._V1_SX300.jpg;Internet Movie Database;6.8/10;Rotten Tomatoes;60%;;;N/A;6.8;3,634;tt0087968;movie;30/nov/04;N/A;Paramount Home Video;N/A;True;Racing with the Moon;false;https://www.imdb.com/title/tt0087968;;;;
Raising Arizona;1987;1987;PG-13;1987-04-16T22:00:00.000Z;94 min;Comedy;Joel Coen, Ethan Coen;Ethan Coen, Joel Coen;Nicolas Cage, Holly Hunter, Trey Wilson, John Goodman;Recidivist hold-up man H.I. McDonnough and police woman Edwina marry, only to discover they are unable to conceive a child. Desperate for a baby, the pair decide to kidnap one of the quintuplets of furniture tycoon Nathan Arizona. The McDonnoughs try to keep their crime secret, while friends, co-workers and a feral bounty hunter look to use Nathan Jr. for their own purposes.;English;USA;0;0;4;0;https://m.media-amazon.com/images/M/MV5BNjEzNWVkMDItN2IzNy00Y2RjLTllMzktNGJhMjIwMjk3YmJiXkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_SX300.jpg;Internet Movie Database;7.4/10;Rotten Tomatoes;91%;Metacritic;68/100;68;7.4;113,102;tt0093822;movie;3/aug/99;N/A;20th Century Fox;N/A;True;Raising Arizona;false;https://www.imdb.com/title/tt0093822;;;;
Red Rock West;1993;1993;R;1993-05-13T22:00:00.000Z;98 min;Crime;John Dahl;John Dahl, Rick Dahl;Nicolas Cage, Craig Reay, Vance Johnson, Robert Apel;When a promised job for Texan Michael fails to materialise in Wyoming, Mike is mistaken by Wayne to be the hitman he hired to kill his unfaithful wife, Suzanne. Mike takes full advantage of the situation, collects the money and runs. During his getaway, things go wrong, and soon get worse when he runs into the real hitman, Lyle.;English;USA;0;0;3;3;https://m.media-amazon.com/images/M/MV5BNzhiMTQxYzMtOWI4NS00NWJiLWE5MDMtMmIzNjMxODNjZjBlXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_SX300.jpg;Internet Movie Database;7.0/10;Rotten Tomatoes;95%;Metacritic;79/100;79;7;17,872;tt0105226;movie;10/aug/99;N/A;Sony Pictures Home Entertainment;N/A;True;Red Rock West;false;https://www.imdb.com/title/tt0105226;;;;
Rumble Fish;1983;1983;R;1983-10-20T23:00:00.000Z;94 min;Drama;Francis Ford Coppola;S.E. Hinton (novel), S.E. Hinton (screenplay), Francis Ford Coppola (screenplay);Matt Dillon, Mickey Rourke, Diane Lane, Dennis Hopper;Rusty James is the leader of a small, dying gang in an industrial town. He lives in the shadow of the memory of his absent, older brother -- The Motorcycle Boy. His mother has left, his father drinks, school has no meaning for him and his relationships are shallow. He is drawn into one more gang fight and the events that follow begin to change his life.;English;USA;1;0;1;3;https://m.media-amazon.com/images/M/MV5BYjVkNjczZDEtZGQyZS00ZWUyLWFmMzctMzE5YjM1YTczZTE3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg;Internet Movie Database;7.2/10;Rotten Tomatoes;72%;Metacritic;63/100;63;7.2;28,035;tt0086216;movie;8/sep/98;N/A;Universal Pictures;N/A;True;Rumble Fish;false;https://www.imdb.com/title/tt0086216;;;;
Running with the Devil;1973;1973;R;1972-12-31T23:00:00.000Z;N/A;Action;Henri Pachard;N/A;Michael Heit, Sean Kenny, Jane Peters, Donna Stanley;N/A;English;USA;0;0;0;0;https://images-na.ssl-images-amazon.com/images/M/MV5BNTczOTRkNjktZTVjMy00YjA3LThkODMtZDRhOTNmOWRjYmJiXkEyXkFqcGdeQXVyMTA3NzE5MzE@._V1_SX300.jpg;Internet Movie Database;6.8/10;;;;;N/A;6.8;6;tt0314595;movie;N/A;N/A;N/A;N/A;True;Running with the Devil;false;https://www.imdb.com/title/tt0314595;;;;
Season of the Witch;2011;2011;PG-13;2011-01-06T23:00:00.000Z;95 min;Action;Dominic Sena;Bragi F. Schut;Nicolas Cage, Ron Perlman, Stephen Campbell Moore, Stephen Graham;A 14th century Crusader returns to a homeland devastated by the Black Plague. A beleaguered church, deeming sorcery the culprit of the plague, commands the two knights to transport an accused witch to a remote abbey, where monks will perform a ritual in hopes of ending the pestilence. A priest, a grieving knight, a disgraced itinerant and a headstrong youth who can only dream of becoming a knight join a mission troubled by mythically hostile wilderness and fierce contention over the fate of the girl. When the embattled party arrives at the abbey, a horrific discovery jeopardises the knight's pledge to ensure the girl fair treatment, and pits them against an inexplicably powerful and destructive force.;English, Latin;USA;0;0;2;2;https://m.media-amazon.com/images/M/MV5BMzc3MjYxNzg2N15BMl5BanBnXkFtZTcwNzQyMTkwNA@@._V1_SX300.jpg;Internet Movie Database;5.4/10;Rotten Tomatoes;10%;Metacritic;28/100;28;5.4;83,804;tt0479997;movie;28/jun/11;$24,800,000;Relativity Media;http://www.seasonofthewitchfilm.com;True;Season of the Witch;false;https://www.imdb.com/title/tt0479997;;;;
Seeking Justice;2011;2011;R;2011-09-01T22:00:00.000Z;105 min;Action;Roger Donaldson;Todd Hickey (story), Robert Tannen (screenplay), Robert Tannen (story);Nicolas Cage, January Jones, Guy Pearce, Harold Perrineau;In New Orleans, English teacher of the high school Rampart High, Will Gerard, and his wife, musician Laura Gerard, are in love with each other. One night, Laura leaves a rehearsal and is assaulted, while Will is playing chess with his friend Jimmy. Will is visiting her in hospital when, out of the blue, a stranger named Simon tells him that he belongs to an organization of vigilantes and offers to eliminate the assailant. In return, the organisation would want a favor from Will in the future. Will agrees, and the criminal is murdered. Six months later, Simon collects his debt with Will. He demands that Will kill Alan Marsh, a pedophile. Will accidentally kills Alan and soon he learns that the victim was an awarded journalist that was investigating the organization. Now he seeks evidences to prove his innocence but the network of the organization is powerful and is seeking Will out to eliminate him.;English;USA;0;0;1;0;https://m.media-amazon.com/images/M/MV5BNzAxMzAyODEyMV5BMl5BanBnXkFtZTcwNjU3OTEzNw@@._V1_SX300.jpg;Internet Movie Database;6.2/10;Rotten Tomatoes;26%;Metacritic;38/100;38;6.2;42,073;tt1214962;movie;19/jun/12;$410,819;Anchor Bay Entertainment;http://www.seekingjustice-movie.com/;True;Seeking Justice;false;https://www.imdb.com/title/tt1214962;;;;
Snake Eyes;1998;1998;R;1998-08-06T22:00:00.000Z;98 min;Crime;Brian De Palma;Brian De Palma (story), David Koepp (story), David Koepp (screenplay);Nicolas Cage, Gary Sinise, John Heard, Carla Gugino;Ricky Santoro is a flamboyant and corrupt Atlantic City cop with a dream: become so well connected that he can become mayor. In lieu of that, he'll settle for keeping his comfortable lifestyle. On the night of the heavyweight boxing championship, Rick becomes mixed up in the assassination of the Secretary of Defense, an assassination involving his best friend. Becoming the investigating officer in the case, Rick soon uncovers a conspiracy to kill the Secretary and a mysterious woman in white. The conspiracy was shocking, but not half as shocking as the identity of its mastermind.;English;USA;0;0;2;1;https://m.media-amazon.com/images/M/MV5BNmZiODkzNWEtNDkxZC00NDg2LWFiYzktZjY2ZmUwMmM2ZmJlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg;Internet Movie Database;6.0/10;Rotten Tomatoes;40%;Metacritic;52/100;52;6;70,139;tt0120832;movie;16/feb/99;N/A;Paramount Pictures;N/A;True;Snake Eyes;false;https://www.imdb.com/title/tt0120832;;;;
Snowden;2016;2016;R;2016-09-15T22:00:00.000Z;134 min;Biography;Oliver Stone;Kieran Fitzgerald (screenplay by), Oliver Stone (screenplay by), Luke Harding (book), Anatoly Kucherena (book);Melissa Leo, Zachary Quinto, Joseph Gordon-Levitt, Jaymes Butler;SNOWDEN stars Joseph Gordon-Levitt and is written and directed by Oliver Stone. The script is based on the books The Snowden Files: The Inside Story of the World's Most Wanted Man by Luke Harding and Time of the Octopus by Anatoly Kucherena.;English, American Sign Language, Russian;France;0;0;7;3;https://m.media-amazon.com/images/M/MV5BMTg2MzYzNzgzOF5BMl5BanBnXkFtZTgwOTg4NzQ4OTE@._V1_SX300.jpg;Internet Movie Database;7.3/10;Rotten Tomatoes;60%;Metacritic;58/100;58;7.3;112,08;tt3774114;movie;27/dec/16;$21,562,346;Open Road Films;http://snowdenfilm.com/;True;Snowden;false;https://www.imdb.com/title/tt3774114;;;;
Sonny with a Chance;2009–2011;;TV-G;2009-02-07T23:00:00.000Z;23 min;Comedy;N/A;Steve Marmel;Demi Lovato, Tiffany Thornton, Sterling Knight, Brandon Mychal Smith;Sonny Monroe is destined for stardom after Hollywood producers see a film that she made and put on the Internet. Sonny is soon whisked away from her home in Wisconsin and arrives in Hollywood where she is offered a starring role in her favorite TV show that will change her life.;English;USA;0;0;6;2;https://m.media-amazon.com/images/M/MV5BMmEwMmFmODEtMmNhNi00NTI3LWFjZjgtNmIyMDdiZjVhMDhlXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_SX300.jpg;Internet Movie Database;6.2/10;;;;;N/A;6.2;9,008;tt1252374;series;;;;;True;Sonny with a Chance;true;https://www.imdb.com/title/tt1252374;2;2009;2a38c7fe;10000
Spider-Man: Into the Spider-Verse;2018;2018;N/A;2018-12-13T23:00:00.000Z;N/A;Animation;Bob Persichetti, Peter Ramsey, Rodney Rothman;Phil Lord (screenplay by), Steve Ditko (Spider-Man created by), David Hine (comic characters created by), Stan Lee (Spider-Man created by), Rodney Rothman (screenplay by), Brian Michael Bendis (Miles Morales created by), Fabrice Sapolsky (comic characters created by), Sara Pichelli (Miles Morales created by);Hailee Steinfeld, Liev Schreiber, Nicolas Cage, Mahershala Ali;Spider-Man crosses parallel dimensions and teams up with the Spider-Men of those dimensions to stop a threat to all reality.;English;USA;0;0;0;0;https://m.media-amazon.com/images/M/MV5BMjMzMzQ0NzI5Nl5BMl5BanBnXkFtZTgwNjc2NTY0NjM@._V1_SX300.jpg;;0;;;;;N/A;0;N/A;tt4633694;movie;N/A;N/A;Sony Pictures;N/A;True;Spider-Man: Into the Spider-Verse;false;https://www.imdb.com/title/tt4633694;;;;
Stolen;2012;2012;R;2012-09-05T22:00:00.000Z;96 min;Action;Simon West;David Guggenheim;Nicolas Cage, Josh Lucas, Danny Huston, Malin Akerman;In New Orleans, the notorious bank thief and family man Will Montgomery steals $10m with his partners Vincent, Riley Jeffers and Hoyt. However, he has an argument with Vincent in the runaway and Hoyt leaves Will behind. He tries to flee but the FBI agent Tim Harlend organizes a manhunt and Will is captured, but he burns the stolen money to get rid of the evidence against him. Eight years later, Will leaves the prison and he goes to the house of his teenage daughter Alison Loeb, who has issues against him. Alison leaves Will alone in a coffee shop and takes a cab to go to a session with her shrink. However, a couple of minutes later, Will receives a phone call from Vincent, who is presumed dead, telling that he has abducted Alison and will kill her unless he receives the $10m of the last robbery. Now Will has twelve hours to find a way to rescue his daughter from the hands of the psychopath Vincent.;English, Swedish;USA;0;0;0;0;https://m.media-amazon.com/images/M/MV5BNzY0ODM1NzU0OV5BMl5BanBnXkFtZTcwNTExNjIyOA@@._V1_SX300.jpg;Internet Movie Database;5.5/10;Rotten Tomatoes;16%;Metacritic;43/100;43;5.5;40,673;tt1656186;movie;8/jan/13;$289,773;Millennium Entertainment;http://stolen-movie.com/;True;Stolen;false;https://www.imdb.com/title/tt1656186;;;;
Teen Titans Go! To the Movies;2018;2018;PG;2018-07-26T22:00:00.000Z;84 min;Animation;Aaron Horvath, Peter Rida Michail;Michael Jelenic, Aaron Horvath, Jerry Siegel (Superman created by), Joe Shuster (Superman created by), Marv Wolfman (based on characters created by), George Pérez (based on characters created by), Arnold Drake (based on characters created by), Bob Kane (Batman and Robin created by), Bill Finger (Batman and Robin created by), William Moulton Marston (Wonder Woman created by);Greg Cipes, Scott Menville, Khary Payton, Tara Strong;A villain's maniacal plan for world domination sidetracks five teenage superheroes who dream of Hollywood stardom.;English;USA;0;0;0;0;https://m.media-amazon.com/images/M/MV5BMjM3NDMwMDE2N15BMl5BanBnXkFtZTgwNDQ1Mjg5NTM@._V1_SX300.jpg;Internet Movie Database;6.8/10;Rotten Tomatoes;91%;Metacritic;69/100;69;6.8;8,816;tt7424200;movie;N/A;N/A;Warner Bros. Pictures;http://www.teentitansgo-movie.com/;True;Teen Titans Go! To the Movies;false;https://www.imdb.com/title/tt7424200;;;;
The Ant Bully;2006;2006;PG;2006-07-27T22:00:00.000Z;88 min;Animation;John A. Davis;John A. Davis, John Nickle (book);Julia Roberts, Nicolas Cage, Meryl Streep, Paul Giamatti;"This is the story of a ten-year-old boy named Lucas Nickle, who has just moved to a new neighborhood, has no friends, and is the target for the local bully and his gang. His parents are leaving for a honeymoon in Puerto Vallarta, so they are too busy to attend to his problems. His sister is distracted by her cellular phone, and the grandmother is obsessed with UFOs and aliens. Lucas is constantly being beat up by the obese yet intimidating neighborhood bully. Because he cannot fight back, he takes out his anger on an anthill in his front yard; He kicks it, stomps it, squirts it with his water gun, and floods it with a hose. This terrifies the ants, who call Lucas the Destroyer. One wizard ant, known as Zoc being a hopeful and adventurous type, is trying to solve this dilemma. He tries to devise a magic potion that he believes will solve all their problems. As the plan to shrink Lucas down to their size with a magic potion and forcing him to live like an ant within the colony--an astonishing new world opens up to him. Lucas learns, first-hand, the value of friendship and teamwork, ultimately leading the ants in an effort to save their colony from annihilation. And in the process, Lucas obtains the things he wants most: friends, companionship, acceptance and the courage to stand up for himself.";English;USA;0;0;4;1;https://m.media-amazon.com/images/M/MV5BMjE2OTYwMzQzNl5BMl5BanBnXkFtZTcwNDM1MjMzMQ@@._V1_SX300.jpg;Internet Movie Database;5.8/10;Rotten Tomatoes;63%;Metacritic;59/100;59;5.8;33,787;tt0429589;movie;28/nov/06;$28,100,000;Warner Bros. Pictures;http://theantbully.warnerbros.com/;True;The Ant Bully;false;https://www.imdb.com/title/tt0429589;;;;
The Barber of Siberia;1998;1998;N/A;1999-02-19T23:00:00.000Z;180 min;Comedy;Nikita Mikhalkov;Nikita Mikhalkov (story), Rustam Ibragimbekov (screenplay), Nikita Mikhalkov (screenplay), Rospo Pallenberg (in cooperation with);Julia Ormond, Oleg Menshikov, Aleksey Petrenko, Richard Harris;Douglas is a foreign entrepreneur, who ventures to Russia in 1885 with dreams of selling a new, experimental steam-driven timber harvester in the wilds of Siberia. Jane is his assistant, who falls in love with a young Russian officer, André, and spends the next 10 years perfecting the harvester and pursuing her love, who has been exiled to Siberia.;Russian, English, French, German;Russia;0;0;3;1;https://m.media-amazon.com/images/M/MV5BMTc4NDUwMDU3OV5BMl5BanBnXkFtZTcwMzU4MDYyMQ@@._V1_SX300.jpg;Internet Movie Database;7.8/10;;;;;N/A;7.8;10,393;tt0120125;movie;N/A;N/A;Arthaus Filmverleih;N/A;True;The Barber of Siberia;false;https://www.imdb.com/title/tt0120125;;;;
The Best of Times;1986;1986;PG-13;1986-01-30T23:00:00.000Z;104 min;Comedy;Roger Spottiswoode;Ron Shelton;Robin Williams, Kurt Russell, Pamela Reed, Holly Palance;Jack Dundee is a meek banker living in Taft, California. He constantly thinks about the 1972 high school football game between Taft and powerhouse Bakersfield. Dundee drops a perfect pass from quarterback and friend Reno Hightower, and the game ended in a tie. He wants to replay the game, but has trouble convincing Reno and the town to replay the game. So Jack resorts to desperate measures to make the game reality.;English;USA;0;0;0;0;https://m.media-amazon.com/images/M/MV5BZGRhOWZlMjctOWJlMi00ZGEzLThkZjMtMTcyYjA2MTlkYjI4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;Internet Movie Database;6.0/10;Rotten Tomatoes;31%;;;N/A;6;5,902;tt0090713;movie;2/feb/99;N/A;Sultan Entertainment;N/A;True;The Best of Times;false;https://www.imdb.com/title/tt0090713;;;;
The Boy in Blue;1986;1986;R;1986-01-16T23:00:00.000Z;100 min;Biography;Charles Jarrott;Douglas Bowie;Nicolas Cage, Cynthia Dale, Christopher Plummer, David Naughton;"Based on the life of Ned Hanlan, the late-19th century Canadian sculler and world champion. Hanlan was one of the first scullers to successfully utilize the ""sliding seat.""";English;Canada;0;0;3;3;https://m.media-amazon.com/images/M/MV5BNTA5YzgzNDItNzBhYy00ZDI4LWFmYjktZDBjMGQxZmUwZDg2XkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_SX300.jpg;Internet Movie Database;5.4/10;;;;;N/A;5.4;957;tt0090769;movie;7/feb/06;N/A;Twentieth Century Fox Home Entertainment;N/A;True;The Boy in Blue;false;https://www.imdb.com/title/tt0090769;;;;
The Cotton Club;1984;1984;R;1984-12-13T23:00:00.000Z;127 min;Crime;Francis Ford Coppola;"William Kennedy (screenplay), Francis Ford Coppola (screenplay), William Kennedy (story), Francis Ford Coppola (story), Mario Puzo (story), Jim Haskins (pictorial history ""The Cotton Club"")";Richard Gere, Gregory Hines, Diane Lane, Lonette McKee;The Cotton Club was a famous night club in Harlem. The story follows the people who visited the club, those who ran it, and is peppered with the Jazz music that made it so famous.;English, Italian;USA;2;0;6;1;https://m.media-amazon.com/images/M/MV5BMWU2NGMxNTctNDc4MC00ZTdkLTlhYjItMTRjMmMxZDBjZTMwXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg;Internet Movie Database;6.5/10;Rotten Tomatoes;74%;Metacritic;68/100;68;6.5;14,453;tt0087089;movie;19/jan/00;N/A;Nelson Entertainment;N/A;True;The Cotton Club;false;https://www.imdb.com/title/tt0087089;;;;
The Croods;2013;2013;PG;2013-03-21T23:00:00.000Z;98 min;Animation;Kirk DeMicco, Chris Sanders;Chris Sanders (screenplay), Kirk DeMicco (screenplay), John Cleese (story), Kirk DeMicco (story), Chris Sanders (story);Nicolas Cage, Emma Stone, Ryan Reynolds, Catherine Keener;"""The Croods"" are an eccentric family of cavemen, who survive the harsh terrain by living accordingly to a strict set of rules. But when their home is destroyed in the wake of an impending disaster known as ""The End"", they are forced to leave their home of shelter and security, and into the wilderness of the unknown to find a new home.";English;USA;1;0;44;5;https://m.media-amazon.com/images/M/MV5BMTcyOTc2OTA1Ml5BMl5BanBnXkFtZTcwOTI1MjkzOQ@@._V1_SX300.jpg;Internet Movie Database;7.2/10;Rotten Tomatoes;72%;Metacritic;55/100;55;7.2;172,45;tt0481499;movie;01 Oct 2013;$187,165,546;20th Century Fox;http://www.thecroodsmovie.com/;True;The Croods;false;https://www.imdb.com/title/tt0481499;;;;
The Croods 2;2020;2020;N/A;2020-09-17T22:00:00.000Z;N/A;Animation;Joel Crawford;Kirk DeMicco (creator), Dan Hageman (screenplay), Kevin Hageman (screenplay), Chris Sanders (creator);Emma Stone, Ryan Reynolds, Nicolas Cage, Catherine Keener;The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved.;English;USA;0;0;0;0;https://m.media-amazon.com/images/M/MV5BNTc1M2YxNjUtYzc3ZS00Mjc2LThlMzEtOTVjYmEyNDE4YWQwXkEyXkFqcGdeQXVyNzgzMjAzNzc@._V1_SX300.jpg;;0;;;;;N/A;0;N/A;tt2850386;movie;N/A;N/A;20th Century Fox;N/A;True;The Croods 2;false;https://www.imdb.com/title/tt2850386;;;;
The Family Man;2000;2000;PG-13;2000-12-21T23:00:00.000Z;125 min;Comedy;Brett Ratner;David Diamond, David Weissman;Nicolas Cage, Téa Leoni, Don Cheadle, Jeremy Piven;A modern-day Frank Capra story. Jack Campbell, a successful and talented businessman, is happily living his single life. He has everything, or so he thinks. One day he wakes up in a new life where he didn't leave his college girlfriend for a London trip. He's married to Kate, lives in Jersey and has two kids. He, of course, desperately wants his life back for which he has worked 13 years for. He's president of P. K. Lassiter Investment House and not a tire salesman at Big Ed's. He drives a Ferrari and not a mini-van that never starts. And most importantly he doesn't wake up in the morning with kids jumping on the bed. After a bad start, day by day he's more confident in his new life and starts to see what he's been missing. Turns out money's good to have but that's not everything.;English, Italian;USA;0;0;6;4;https://m.media-amazon.com/images/M/MV5BYzYzMTQ4NDYtNWRkZi00NTYxLThlZDItMzI1MmU1MmU5ZWQ3XkEyXkFqcGdeQXVyNDA5Mjg5MjA@._V1_SX300.jpg;Internet Movie Database;6.7/10;Rotten Tomatoes;53%;Metacritic;42/100;42;6.7;94,839;tt0218967;movie;17/jul/01;N/A;Universal Pictures;http://www.family-man.com;True;The Family Man;false;https://www.imdb.com/title/tt0218967;;;;
The Frozen Ground;2013;2013;R;2013-07-10T22:00:00.000Z;105 min;Crime;Scott Walker;Scott Walker;Nicolas Cage, Vanessa Hudgens, John Cusack, Dean Norris;"Alaska Trooper Jack Holcombe believes Robert Hansen is a serial killer who abducts young girls, tortures and sexually assaults them, then kills them. But Holcombe doesn't have enough evidence to get a search warrant for Hansen's premises. Holcombe knows that one victim, Cyndy Paulsen, somehow survived, so he decides to seek her help, but he finds that she's now a junkie with trust issues. Holcombe has to earn her trust; meanwhile, Hansen is still hunting and killing girls.";English, French;USA;0;0;1;0;https://m.media-amazon.com/images/M/MV5BMjA0MjAyMjIxMl5BMl5BanBnXkFtZTcwNTQ1NDc2OQ@@._V1_SX300.jpg;Internet Movie Database;6.4/10;Rotten Tomatoes;61%;Metacritic;37/100;37;6.4;50,741;tt2005374;movie;01 Oct 2013;$89,515;The Film Arcade;https://www.facebook.com/TheFrozenGroundMovie;True;The Frozen Ground;false;https://www.imdb.com/title/tt2005374;;;;
The Girl Next Door;2004;2004;R;2004-04-08T22:00:00.000Z;109 min;Comedy;Luke Greenfield;David Wagner (story), Brent Goldberg (story), Stuart Blumberg (screenplay), David Wagner (screenplay), Brent Goldberg (screenplay);Emile Hirsch, Elisha Cuthbert, Timothy Olyphant, James Remar;18-year-old Matthew Kidman is a straight 'A' over-achiever who feels that he has never really lived life to the full. That is, until he meets 'the girl next door'. Danielle moves in next door, and Matthew thinks he's found the girl of his dreams. All is going well, until Matthew's sex-mad friend Eli reveals that Danielle is actually a ex-porn star. Matthew doesn't know how to take the news or how to treat Danielle, and things go from bad to worse when Danielle's former producer Kelly appears to take her back.;English;USA;0;0;4;2;https://m.media-amazon.com/images/M/MV5BMTQ0ODIyMzE1N15BMl5BanBnXkFtZTcwODEwODczMw@@._V1_SX300.jpg;Internet Movie Database;6.7/10;Rotten Tomatoes;56%;Metacritic;47/100;47;6.7;186,809;tt0265208;movie;24/aug/04;$14,544,008;20th Century Fox;http://www.thegirlnextdoormovie.com;True;The Girl Next Door;false;https://www.imdb.com/title/tt0265208;;;;
The Humanity Bureau;2017;2017;R;2018-04-05T22:00:00.000Z;95 min;Action;Rob W. King;Dave Schultz;Nicolas Cage, Sarah Lind, Jakob Davies, Hugh Dillon;A dystopian thriller set in the year 2030 that sees the world in a permanent state of economic recession and facing serious environmental problems as a result of global warming.;English;Canada;0;0;0;0;https://m.media-amazon.com/images/M/MV5BMjQwNTk0NzAzNl5BMl5BanBnXkFtZTgwOTkyNzA2NDM@._V1_SX300.jpg;Internet Movie Database;5.3/10;;;;;N/A;5.3;6,705;tt6143568;movie;N/A;N/A;N/A;N/A;True;The Humanity Bureau;false;https://www.imdb.com/title/tt6143568;;;;
The Making of Dr. Horrible's Sing-Along Blog;2008;2008;N/A;2008-12-18T23:00:00.000Z;20 min;Documentary;Ethan Shaftel;N/A;Zack Whedon, Jed Whedon, Maurissa Tancharoen, Felicia Day;N/A;English;USA;0;0;0;0;https://m.media-amazon.com/images/M/MV5BMTQzMzg1MTAxNV5BMl5BanBnXkFtZTcwMzc2NDUxOA@@._V1_SX300.jpg;Internet Movie Database;8.8/10;;;;;N/A;8.8;2,488;tt1346985;movie;N/A;N/A;N/A;N/A;True;The Making of Dr. Horrible's Sing-Along Blog;false;https://www.imdb.com/title/tt1346985;;;;
The Rock;1996;1996;R;1996-06-06T22:00:00.000Z;136 min;Action;Michael Bay;David Weisberg (story), Douglas Cook (story), David Weisberg (screenplay), Douglas Cook (screenplay), Mark Rosner (screenplay);Sean Connery, Nicolas Cage, Ed Harris, John Spencer;Stanley Goodspeed, who lives in Washington D.C., is a biochemist who works for the FBI. Soon after his fiancée Carla Pestalozzi announces that she is pregnant, Stanley gets a call from FBI director James Womack. Womack tells Stanley that San Francisco's Alcatraz Island has been taken hostage, along with 81 tourists, by marine General Francis Xavier Hummel who, for years, has been protesting the government's refusal to pay benefits to families of war veterans who died during covert military operations. The death of his wife Barbara Hummel on March 9, 1995 drove General Hummel over the edge, and now he's holding hostages in order to get his point across. Stanley is needed because General Hummel has stolen some VX gas warheads and has announced that he will launch them onto San Francisco unless his demands are met. Stanley knows how to disarm the bombs, but Stanley needs someone who knows Alcatraz well enough to get him inside. That man is former British intelligence agent John Patrick Mason, who has been in prison for the past 30 years without a trial because he was accused of stealing the private files of J. Edgar Hoover. In 1962, John became the only inmate ever to escape from Alcatraz, and he stayed out of Alcatraz long enough to father a daughter named Jade Angelou. Despite his extreme hatred of the FBI, John agrees to help Stanley. When John and Stanley are sent into Alcatraz with a Navy SEAL team, General Hummel's men kill the entire SEAL team, leaving Stanley and John to work on their own to rescue the hostages.;English;USA;1;0;8;9;https://m.media-amazon.com/images/M/MV5BZDJjOTE0N2EtMmRlZS00NzU0LWE0ZWQtM2Q3MWMxNjcwZjBhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg;Internet Movie Database;7.4/10;Rotten Tomatoes;66%;Metacritic;58/100;58;7.4;286,136;tt0117500;movie;2/dec/97;N/A;Disney;N/A;True;The Rock;false;https://www.imdb.com/title/tt0117500;;;;
